CompAA_nuCelprot,hydrophathy_index_,NEIG_index,KD_Hydrophobicity,Modified_KD_hydrophob_scale,solubility_index,Partition_coeff,basic_aa_count,charge_value,positive_charge,Polarity,nHbondDonors,instability_index,pI,8AcontactNumber,percentExposedResidues,FreeEnergySolutionWater,pK(_COOH),SideChainHydropathyCorrectSolvation,Avrg_FlexibilityIndices,peptide_disorder_percentage,Citrullination_aa_count,msd
5.577777778,1.022222222,51.11777778,9.2,1.011111111,1.022222222,-2.4,0,-2.499785301,0,11.64888889,0.333333333,134.6444444,5.208888889,0.368888889,27.44444444,1.006888889,2.144444444,-1.246666667,0.423222222,33.33333333,0,1
6.444444444,-0.011111111,49.83,-0.1,-0.011111111,-0.011111111,-2.49,1,-1.474632775,0.111111111,17.48444444,1,-0.544444444,5.796666667,0.141111111,35.55555556,0.680111111,2.12,-0.215555556,0.434555556,33.33333333,1,1
6.444444444,-0.011111111,49.83,-0.1,-0.011111111,-0.011111111,-2.49,1,-1.474632775,0.111111111,17.48444444,1,-0.544444444,5.796666667,0.141111111,35.55555556,0.680111111,2.12,-0.215555556,0.434555556,33.33333333,1,1
6.022222222,0.433333333,49.98888889,3.9,0.462222222,0.433333333,-2.707777778,0,-1.442100648,0,6.33,0.555555556,-7.811111111,5.426666667,-0.056666667,25.33333333,0.335333333,2.164444444,-0.834444444,0.446888889,33.33333333,0,1
5.922222222,-0.177777778,50.07111111,-1.6,-0.288888889,-0.177777778,-2.587777778,2,-1.403704288,0.222222222,22.81888889,0.777777778,77.02222222,6.114444444,0.165555556,34.66666667,0.166111111,2.078888889,-0.14,0.438444444,44.44444444,1,1
5.155555556,0.6,51.26333333,5.4,0.497777778,0.6,-2.533333333,0,-0.392197702,0,1.201111111,0.555555556,-19.33333333,5.841111111,0.308888889,21.55555556,0.292111111,2.29,-1.023333333,0.370222222,44.44444444,0,1
6.1,-1.055555556,49.05,-9.5,-1.206666667,-1.055555556,-2.711111111,2,-0.404825049,0.222222222,18.05333333,1.222222222,66.51111111,6.276666667,-0.012222222,38.55555556,0.441555556,2.076666667,0.43,0.429555556,44.44444444,1,1
7.188888889,0.833333333,49.9,7.5,0.532222222,0.833333333,-2.725555556,1,0.28238289,0.111111111,6.043333333,0.444444444,-0.544444444,6.311111111,0.058888889,27.22222222,-0.03,2.276666667,-0.581111111,0.389444444,22.22222222,0,1
6.066666667,-0.044444444,50.37777778,-0.4,-0.304444444,-0.044444444,-2.754444444,2,-0.405499325,0.222222222,17.24666667,0.777777778,48.27777778,6.305555556,0.107777778,28,0.181111111,2.094444444,-0.138888889,0.432444444,22.22222222,1,1
5.355555556,1.133333333,52.03,10.2,1.062222222,1.133333333,-2.478888889,1,-0.408426284,0.111111111,6.3,0.333333333,22.6,6.06,0.484444444,21.77777778,0.669,2.243333333,-0.838888889,0.398111111,33.33333333,0,1
6.555555556,1.533333333,51.46,13.8,1.483333333,1.533333333,-2.384444444,1,0.520645228,0.111111111,5.933333333,0.333333333,11.42222222,6.398888889,0.353333333,27.22222222,0.049333333,2.271111111,-1.401111111,0.443333333,33.33333333,0,1
5.766666667,-0.733333333,49.60333333,-6.6,-0.914444444,-0.733333333,-2.745555556,2,0.530865273,0.222222222,17.56111111,1,33.53333333,6.471111111,0.017777778,38.55555556,0.598555556,2.026666667,0.027777778,0.469444444,44.44444444,1,1
5.1,0.066666667,50.87222222,0.6,-0.031111111,0.066666667,-2.53,1,-0.478933406,0.111111111,12.25777778,1,-9.9,6.015555556,0.271111111,34.44444444,1.022111111,2.104444444,-0.101111111,0.425444444,33.33333333,1,1
5.2,0.577777778,51.84666667,5.2,0.484444444,0.577777778,-2.532222222,1,0.532924382,0.111111111,6.775555556,0.888888889,5.688888889,6.222222222,0.372222222,26.22222222,0.730666667,2.008888889,-0.558888889,0.419444444,22.22222222,1,1
7.555555556,0.011111111,49.63,0.1,-0.173333333,0.011111111,-2.74,3,2.552416564,0.333333333,17.00666667,1,-0.544444444,7.312222222,0.047777778,37.77777778,0.010444444,2.163333333,0.002222222,0.442777778,33.33333333,1,1
6.433333333,-1.266666667,48.78111111,-11.4,-1.444444444,-1.266666667,-2.716666667,3,0.594475556,0.333333333,23.37666667,1.222222222,97.46666667,6.906666667,-0.167777778,41,-0.349222222,1.9,0.111111111,0.471555556,55.55555556,2,1
7,1.511111111,51.26333333,13.6,1.494444444,1.511111111,-2.365555556,1,0.554947275,0.111111111,5.942222222,0.444444444,-19.41111111,6.325555556,0.356666667,26.33333333,0.403555556,2.287777778,-1.346666667,0.423,22.22222222,0,1
6.733333333,0.255555556,50.98555556,2.3,0.067777778,0.255555556,-2.831111111,2,1.496116743,0.222222222,11.65666667,0.777777778,47.64444444,6.79,0.24,28.22222222,0.336555556,2.102222222,-0.157777778,0.449333333,22.22222222,1,1
7.055555556,0.766666667,50.94555556,6.9,0.676666667,0.766666667,-2.371111111,2,1.530418789,0.222222222,11.86111111,0.777777778,30.28888889,6.827777778,0.351111111,33.11111111,0.557333333,2.072222222,-1.042222222,0.424111111,33.33333333,1,1
5.244444444,1.422222222,52.11555556,12.8,1.455555556,1.422222222,-2.313333333,1,-0.440222738,0.111111111,6.504444444,0.444444444,8.888888889,6.03,0.43,23.22222222,0.384888889,2.212222222,-1.395555556,0.399,22.22222222,0,1
5.222222222,1.077777778,51.58666667,9.7,1.083333333,1.077777778,-2.144444444,1,0.554947275,0.111111111,6.406666667,0.666666667,71.42222222,6.264444444,0.408888889,29,0.821333333,2.233333333,-1.557777778,0.397666667,33.33333333,0,1
5.377777778,-1.266666667,48.28,-11.4,-1.391111111,-1.266666667,-2.878888889,3,1.589068123,0.333333333,17.88888889,1.222222222,74.58888889,6.811111111,-0.262222222,43.88888889,0.165888889,2.144444444,0.678888889,0.425333333,66.66666667,0,1
6.722222222,-0.088888889,49.21555556,-0.8,-0.225555556,-0.088888889,-2.743333333,1,0.554947275,0.111111111,6.065555556,0.333333333,45.07777778,6.436666667,-0.136666667,29.55555556,-0.524222222,2.234444444,-0.775555556,0.494444444,44.44444444,0,1
6.722222222,1.022222222,51.51777778,9.2,0.921111111,1.022222222,-2.633333333,2,1.52062011,0.222222222,11.70666667,0.888888889,27.08888889,6.868888889,0.271111111,31.66666667,-0.006888889,2.164444444,-0.502222222,0.451333333,33.33333333,1,1
5.955555556,-0.677777778,49.71,-6.1,-0.812222222,-0.677777778,-2.862222222,3,1.557246551,0.333333333,17.78555556,1.222222222,22.08888889,6.98,-0.056666667,37.88888889,-0.081111111,2.058888889,0.391111111,0.437444444,44.44444444,1,1
